   name |     period_in_days | planet_radius_in_earth_radii | planet_equilibrium_temperature |           rp_over_rs |          transit_depth | semimajor_axis_in_au
Mercury |              87.66 |          0.38255906931531336 |             448.49477620122195 | 0.003507258875952278 | 1.2300864822946035e-05 |   0.3861957538422519
  Venus |          224.62875 |           0.9488719211050313 |              327.7450171562223 | 0.008699151933304583 |  7.567524435871686e-05 |    0.723186111646582
  Earth |             365.25 |           0.9999843213496182 |              278.7155094725876 | 0.009167744717550667 |  8.404754320617815e-05 |                  1.0
   Mars |             686.67 |           0.5326037534689014 |             225.82664709116747 | 0.004882851803938479 | 2.3842241739225256e-05 |   1.5232524997793524
Jupiter |           4331.865 |            11.20898073093868 |             122.21736231248535 |  0.10276268506540173 |    0.01056016944185094 |    5.200636016879563
 Saturn | 10755.516749999999 |             9.44920901208824 |              90.25697713255886 |  0.08662929423602127 |   0.007504634619831148 |    9.535878396763067
 Uranus |         30687.1362 |            4.007306251077907 |             63.636422633111955 |   0.0367385367256001 |  0.0013497200807382676 |    19.18274516979287
Neptune |         60189.5475 |           3.8829745535504303 |              50.83749995140619 |  0.03559867759091562 |  0.0012672658462219578 |   30.057572443115774
