               name | period_in_days | planet_radius_in_earth_radii | planet_equilibrium_temperature |            rp_over_rs |          transit_depth | semimajor_axis_in_au
       Kepler-222 d |      28.081912 |                         3.69 |              575.9653758682756 |  0.038884492423904474 |  0.0015120037510646844 |                 0.18
       Kepler-223 b |        7.38449 |                         2.99 |             1192.3692709041472 |     0.015937201446761 | 0.00025399438995464096 |  0.07707036114771668
       Kepler-223 c |        9.84564 |                         3.44 |             1083.3520929157276 |  0.018335776915337068 | 0.00033620071508900774 |  0.09336190204619564
       Kepler-223 d |       14.78869 |                         5.24 |              945.9634914525253 |   0.02793007878964135 |  0.0007800893011955736 |   0.1224503957811037
       Kepler-223 e |       19.72567 |                          4.6 |              859.3571397833707 |  0.024518771456555382 |   0.000601170153738795 |   0.1483752846562552
       Kepler-224 b |       3.132924 |                         1.39 |             1023.5913633922102 |   0.01874024258258715 |  0.0003511966920542127 |                0.038
       Kepler-224 c |       5.925003 |                         3.12 |              828.5227049312518 |   0.04206442939400856 |  0.0017694162202435315 |                0.058
       Kepler-224 d |      11.349393 |                          2.3 |              668.8418013019179 |  0.031009034489172978 |  0.0009615602199507193 |                0.089
       Kepler-224 e |      18.643577 |                         1.97 |              566.6404433291998 |  0.026559912149422077 |  0.0007054289333850185 |                0.124
       Kepler-225 b |       6.738975 |                          1.2 |              519.8088713919116 |  0.022919721144171335 |  0.0005253136173265745 |                0.056
       Kepler-225 c |      18.794234 |                         1.84 |             369.21234296021515 |   0.03514357242106272 |    0.00123507068251448 |                0.111
       Kepler-226 b |       3.940997 |                         1.55 |             1108.3132385416282 |  0.017762783886732785 |  0.0003155164914067739 |                0.047
       Kepler-226 c |       5.349555 |                         2.27 |              997.6942126391482 |  0.026013883498634465 |  0.0006767221346805265 |                0.058
       Kepler-226 d |       8.109044 |                         1.22 |              871.5747773589549 |  0.013981029897944513 | 0.00019546919700721835 |                0.076
       Kepler-227 b |       9.488015 |                         3.11 |              982.3766023831856 |   0.02615792027830196 |  0.0006842367932860009 |                 0.09
       Kepler-227 c |      54.418694 |                         3.04 |              547.2682661903066 |   0.02556915679936912 |   0.000653781779430724 |                 0.29
       Kepler-228 b |       2.566546 |                         1.53 |             1502.2934739722577 |  0.013887989445775106 | 0.00019287625084596073 |                0.038
       Kepler-228 c |       4.134444 |                          2.7 |             1284.2361985729565 |  0.024508216669014895 |  0.0006006526842953795 |                0.052
       Kepler-228 d |      11.094286 |                         4.04 |              921.4799542455052 |  0.036671553830674136 |   0.001344802860356031 |                0.101
       Kepler-229 b |       6.252972 |                          2.2 |               847.166637000567 |  0.027629252886124354 |  0.0007633756150454109 |                0.062
       Kepler-229 c |      16.068638 |                         4.92 |              616.6968895747339 |   0.06178905645442355 |  0.0038178874975279406 |                0.117
       Kepler-229 d |      41.194912 |                         3.85 |              449.7315425112708 |   0.04835119255071761 |    0.00233783782107657 |                 0.22
        Kepler-23 b |         7.1073 |                          1.9 |              1277.579864187919 |  0.011238056819077556 | 0.00012629392106881554 |                0.075
        Kepler-23 c |        10.7421 |                          3.2 |             1111.9905402701586 |   0.01892725359002536 | 0.00035824092846112787 |                0.099
        Kepler-23 d |      15.274299 |                          2.2 |              993.5914539923467 |  0.013012486843142436 | 0.00016932481384295502 |                0.124
       Kepler-230 b |      32.625555 |                         4.26 |              558.3158251177289 |    0.0476282985727658 |  0.0022684548249365245 |                0.191
       Kepler-230 c |      91.773242 |                         2.04 |              395.8264607461273 |  0.022807917626394888 |  0.0005202011064524146 |                 0.38
       Kepler-231 b |      10.065275 |                         1.73 |             467.42409750114746 |  0.032368259248503194 |  0.0010477042067783126 |                0.074
       Kepler-231 c |      19.271566 |                         1.93 |              376.5949850179037 |  0.036110254537347494 |  0.0013039504827520253 |                0.114
       Kepler-232 b |       4.431222 |                         3.08 |             1194.9655329868783 |  0.029110408710947513 |  0.0008474158953184088 |                0.054
       Kepler-232 c |      11.379349 |                         3.83 |              873.7588184313257 |   0.03619898226069122 |   0.001310366316709838 |                0.101
       Kepler-233 b |       8.472382 |                         2.43 |              812.0065286971608 |   0.02931311704228229 |  0.0008592588307345403 |                0.077
       Kepler-233 c |      60.418955 |                         2.71 |             420.59483513741213 |  0.032690760158265435 |  0.0010686857997252348 |                0.287
       Kepler-234 b |       2.711506 |                          3.7 |             1581.0091213901285 |  0.030559628192228443 |  0.0009338908752472434 |                 0.04
       Kepler-234 c |        7.21205 |                         3.51 |             1139.5122770590058 |   0.02899034998776266 |  0.0008404403924129704 |                0.077
       Kepler-235 b |       3.340222 |                         2.23 |              791.0671402790883 |   0.03717162047381969 |   0.001381729368649691 |                0.037
       Kepler-235 c |       7.824904 |                         1.28 |              596.8394598715597 |  0.021336176774210406 | 0.00045523243934035557 |                0.065
       Kepler-235 d |      20.060548 |                         2.05 |             435.64656260236603 |  0.034171220614946346 |  0.0011676723183153342 |                0.122
       Kepler-235 e |      46.183669 |                         2.22 |              329.7041436319847 |   0.03700493159277117 |  0.0013693649621856739 |                0.213
       Kepler-236 b |       8.295611 |                         1.57 |             506.51577458321896 |  0.028222715448116862 |  0.0007965216672653742 |                0.065
       Kepler-236 c |      23.968127 |                          2.0 |              355.4370436477026 |   0.03595250375556288 |   0.001292582526293763 |                0.132
       Kepler-237 b |       4.715106 |                         1.41 |              889.4881464677943 |   0.01795378156293421 |  0.0003223382724095564 |                 0.05
       Kepler-237 c |       8.103636 |                         2.08 |               746.441870941648 |  0.026485011099931323 |  0.0007014558129634854 |                0.071
       Kepler-238 b |       2.090876 |                         1.73 |              1798.478397474995 |  0.011091221700536058 | 0.00012301519881044196 |                0.034
       Kepler-238 c |       6.155557 |                         2.39 |             1262.4673023188013 |  0.015322554834844614 | 0.00023478068666682006 |                0.069
       Kepler-238 d |      13.233549 |                         3.07 |              977.9029674024242 |  0.019682110185344333 | 0.00038738546134803515 |                0.115
       Kepler-238 e |         23.654 |                          5.6 |              817.8211128483603 |  0.035902220533527124 |  0.0012889694392380167 |   0.1644268481895192
       Kepler-238 f |         50.447 |                          2.0 |              635.3524867382811 |  0.012822221619116832 |  0.0001644093672497471 |  0.27243311752452926
       Kepler-239 b |      11.763051 |                         2.33 |              670.2139196868073 |  0.028106815929431164 |  0.0007899931016909254 |                0.095
       Kepler-239 c |      56.228098 |                         2.51 |             399.03211408695876 |  0.030278157932563183 |  0.0009167668477892388 |                0.268
        Kepler-24 b |         8.1453 |                          2.4 |              1141.863753531823 |   0.01705653666542983 | 0.00029092544301915216 |                 0.08
        Kepler-24 c |        12.3335 |                          2.8 |              991.9878391029492 |    0.0198992927763348 |  0.0003959818529982904 |                0.106
        Kepler-24 d |       4.244384 |                         1.67 |             1430.1256391425875 |  0.011868506763028256 | 0.00014086145278404744 |                0.051
        Kepler-24 e |      18.998355 |                         2.78 |              869.4002035819179 |  0.019757154970789552 |  0.0003903451725397943 |                0.138
       Kepler-240 b |       4.144495 |                         1.37 |                943.82983528013 |    0.0169729826851431 |  0.0002880821412301675 |                0.048
       Kepler-240 c |       7.953528 |                          2.2 |              760.1485308478973 |  0.027255884603879427 |  0.0007428832455399916 |                0.074
       Kepler-241 b |      12.718092 |                         2.33 |              604.9398821696892 |  0.031882358367712964 |   0.001016484775087277 |                0.094
       Kepler-241 c |      36.065978 |                         2.57 |              426.6239595299719 |   0.03516637811374348 |  0.0012366741496387763 |                0.189
       Kepler-242 b |        8.20395 |                         2.61 |              814.9216317686756 |   0.02815081044060573 |  0.0007924681284629166 |                0.075
       Kepler-242 c |      14.496481 |                          2.0 |              675.9790381659833 |   0.02157150225333773 |  0.0004653297094657547 |                0.109
       Kepler-243 b |       5.715442 |                         2.45 |              927.9245714882238 |  0.026739674668199893 |  0.0007150102013611711 |                0.062
       Kepler-243 c |      20.026218 |                         1.99 |              613.1466327566687 |   0.02171916432233379 | 0.00047172209886053705 |                0.142
