                 time |           flux
                  0.0 |  1.0015152e+00
0.0013889208939872333 |  1.0007262e+00
 0.002777842252726259 |  1.0000634e+00
 0.004166763146258745 |  1.0014635e+00
 0.005555684505679892 |  1.0007083e+00
 0.006944605865101039 |  1.0021101e+00
 0.008333526759088272 |  1.0000188e+00
 0.009722448118736793 |  1.0008494e+00
 0.011111369012724026 |  1.0003831e+00
 0.012500290372372547 |  1.0012555e+00
  0.01388921173156632 |  1.0006925e+00
 0.015278132624644059 |  1.0009042e+00
 0.016667053985202074 |  1.0011249e+00
 0.018055974879644054 |  9.9941969e-01
  0.01944489623838308 |  1.0008173e+00
 0.020833817131915566 |  1.0002753e+00
 0.022222738490654592 |  1.0005468e+00
 0.023611659850303113 |  1.0001440e+00
  0.02500058074519984 |  1.0002573e+00
  0.02638950210484836 |  9.9915713e-01
   0.0277784229979261 |  9.9991190e-01
  0.02916734435757462 |  1.0003132e+00
  0.03055626571722314 |  9.9978799e-01
 0.031945186611210374 |  9.9966735e-01
 0.033334107970858895 |  1.0004250e+00
 0.034723028863936634 |  1.0003926e+00
 0.036111950223585154 |  1.0002334e+00
 0.037500871583233675 |  9.9958867e-01
  0.03888979247676616 |  1.0005125e+00
  0.04027871383618731 |  1.0003337e+00
  0.04166763473085666 |  1.0002530e+00
  0.04305655609050518 |  1.0004009e+00
  0.04444547698358292 |  1.0002049e+00
 0.045834398342776694 |  1.0002013e+00
 0.048612240596867196 |  9.9941164e-01
 0.050001161956515716 |  1.0016383e+00
   0.0513900828500482 |  1.0002482e+00
  0.05277900420878723 |  1.0012625e+00
  0.05416792556843575 |  1.0002950e+00
  0.05555684646287773 |  1.0002611e+00
  0.05694576782252625 |  9.9835819e-01
 0.058334688716058736 |  9.9966764e-01
 0.059723610075707256 |  9.9929565e-01
  0.06111253143535578 |  1.0004116e+00
  0.06250145232843352 |  1.0000376e+00
  0.06389037368808204 |  9.9883723e-01
   0.0652792950481853 |  9.9985659e-01
  0.06666821594217254 |  1.0000470e+00
  0.06805713730136631 |  1.0001806e+00
  0.06944605819444405 |  9.9889249e-01
  0.07083497955363782 |  9.9937606e-01
  0.07222390091374109 |  9.9929512e-01
  0.07361282180863782 |  1.0002611e+00
  0.07500174316737684 |  9.9999094e-01
  0.07639066406045458 |  1.0009624e+00
   0.0777795854201031 |  1.0007268e+00
  0.07916850677975162 |  9.9967021e-01
  0.08055742767373886 |  1.0003375e+00
  0.08194634903338738 |  1.0017810e+00
  0.08333526992691986 |  9.9979150e-01
  0.08472419128656838 |  1.0005517e+00
   0.0861131126462169 |  1.0002729e+00
  0.08750203353997676 |  1.0009596e+00
  0.08889095489939791 |  9.9966902e-01
  0.09027987579338514 |  9.9996990e-01
  0.09166879715303367 |  1.0002425e+00
  0.09305771851222744 |  9.9942094e-01
  0.09444663940530518 |  1.0008690e+00
  0.09583556076586319 |  9.9993694e-01
  0.09722448212596646 |  9.9953145e-01
  0.09861340301927157 |  1.0008044e+00
  0.10000232437823797 |  9.9952209e-01
  0.10139124527131571 |  9.9964112e-01
  0.10278016663096423 |  1.0006754e+00
  0.10416908799152225 |  1.0005963e+00
  0.10555800888550948 |  1.0003101e+00
   0.1069469302442485 |  1.0002213e+00
  0.10833585113823574 |  9.9986422e-01
  0.10972477249788426 |  9.9940699e-01
  0.11111369385685066 |  9.9933457e-01
  0.11250261475061052 |  1.0001603e+00
  0.11389153611025904 |  9.9960369e-01
  0.11528045700424627 |  1.0003594e+00
   0.1166693783638948 |  9.9997371e-01
  0.11805829972308857 |  9.9970806e-01
   0.1194472206170758 |  9.9985963e-01
  0.12083614197717907 |  9.9929988e-01
  0.12222506333682759 |  9.9936408e-01
  0.12361398422990533 |  9.9964440e-01
   0.1250029055890991 |  9.9909496e-01
  0.12639182648308633 |  9.9976528e-01
   0.1277807478431896 |  1.0001019e+00
  0.12916966920283812 |  1.0000875e+00
   0.1305585900963706 |  1.0023172e+00
  0.13194751145510963 |  9.9893951e-01
  0.13333643234909687 |  9.9872625e-01
   0.1347253537087454 |  9.9993861e-01
   0.1361142750683939 |  1.0000927e+00
  0.13750319596238114 |  1.0013874e+00
  0.13889211732202966 |  1.0001445e+00
  0.14028103868167818 |  9.9935329e-01
  0.14166995957475592 |  1.0000688e+00
